ACCOUNT_ID,AVERAGE_TIME_ON_PAGE,EXITS,PAGEVIEWS
001A0000001pk01IAA,145.972973,0.505791506,2.023166023
001A0000001pk02IAA,223.0484106,0.745406824,4.387868183
001A000000ny32CIAQ,208.1284404,0.70412844,2.323394495
001A000000ny4pSIAQ,154.9680851,0.808510638,1.712765957
001A000000ny5l0IAA,168.3937282,0.369337979,2.790940767
001A000000nySA6IAM,198.8857143,1.125714286,1.954285714
001A000000oMqatIAC,87.07692308,0.815384615,1.446153846
001A000000pkGoPIAU,186.631016,0.636363636,2.336898396
001A000000pkXfJIAU,69.66666667,0,1.111111111
001A000000pmPM3IAM,193.1162304,0.746247818,2.12565445
001A000000qOcSxIAK,165.9395604,0.285714286,2.587912088
001A000000qOjonIAC,198.6494768,0.784753363,2.369207773
001A000000qOle6IAC,134.4934613,1.15586968,2.065159876
001A000000qOpzvIAC,153.7203704,0.92037037,2.440740741
001A000000qQYqsIAG,244.1702529,0.632165855,2.466310664
001A000000qRir9IAC,217.5977208,0.920797721,3.9002849
001A000000qzmigIAA,189.3634146,0.468292683,2.590243902
001A000000ri5efIAA,0,1,1
001A000000saHPSIA2,231.0628272,0.494764398,2.787958115
001A000000saHQMIA2,86.33333333,0,2
001A000000saHQNIA2,144.6639769,0.395965418,1.812680115
001A000000saHRxIAM,167.6083806,0.877126654,2.975425331
001A000000saHS7IAM,277.1544547,0.834337917,2.627990205
001A000000sbEI0IAM,188.5495146,0.495145631,2.005825243
001A000000sbbMnIAI,168.2578039,1.165626148,2.326110907
001A000000sbqtOIAQ,135.4134897,0.42228739,2.164222874
001A000000sqN0oIAE,248.2069622,0.969268425,4.301332608
001A000000sqfe3IAA,377.0833333,0.166666667,1.333333333
001A000000sqgdRIAQ,148.176727,0.764922871,2.588531187
001A000000sqgsVIAQ,119.2,0.2,2.12
001A000000sqgu0IAA,185.1083123,0.453400504,2.360201511
001A000000sqlsfIAA,147.902439,0.695121951,1.908536585
001A000000sqmuMIAQ,176.6340172,1.156187955,3.684976837
001A000000sqmuvIAA,171.6775033,0.827698309,2.730169051
001A000000sqmvIIAQ,218.0805009,0.472271914,1.948121646
001A000000sqn1bIAA,97.25,0.25,1.25
001A000000sqn4EIAQ,242.1354582,0.547144754,2.237715803
001A000000tFtztIAC,65.5,0.222222222,1.666666667
001A000000tHJpbIAG,97.84210526,0.789473684,1.210526316
001A000000tHUVuIAO,140.5025381,0.350253807,2.060913706
001A000000tHjAxIAK,177.2408575,0.520807062,2.027112232
001A000000tWt22IAC,252.9253856,0.653605669,2.009587328
001A000000tWttfIAC,95.09677419,1.151364764,2.166253102
001A000000tXll7IAC,27.4,0.4,2
001A000000tXvtHIAS,216.0502092,0.606694561,2.012552301
001A000000trLMCIA2,93.16666667,0.5,1.666666667
001A000000trgjBIAQ,197.2704225,0.695774648,3.294366197
001A000000tsFGlIAM,214.8142549,0.788336933,3.358531317
001A000000uPtKBIA0,202.9706897,0.820689655,2.753448276
001A000000uQvNqIAK,192.2246763,0.594821021,1.81873572
001A000000uaTDlIAM,89.55932203,0.237288136,1.610169492
001A000000uaVjCIAU,104.4,0.5,2.04
001A000000uacbiIAA,159.1568627,0.480392157,1.892156863
001A000000ubiqVIAQ,213.4016736,0.584379358,2.666666667
001A000000ubj9hIAA,113.2714681,0.606648199,1.941828255
001A000000ud1cMIAQ,61.875,0.28125,2
001A000000udu21IAA,236.3136601,1.332429614,3.289885297
001A000000v1wmvIAA,101.4458213,0.854755043,1.751585014
001A000000v3NxWIAU,128.6481836,1.147227533,2.666347992
001A000000vGnYDIA0,145.9121951,0.629268293,2.185365854
001A000000vGnZaIAK,161.8685714,0.831785714,3.2875
001A000000vJlSmIAK,135.1841542,0.584582441,1.877944325
001A000000vhCtQIAU,134.816092,0.32183908,2.747126437
001A000000vhmD0IAI,127.0153846,0.469230769,2.084615385
001A000000vhnatIAA,262.2117647,0.505882353,2.223529412
001A000000vijbzIAA,211.0358796,1.060185185,3.137731481
001A000000viuPDIAY,176.7015909,0.857101906,2.291385983
001A000000w6Ti8IAE,187.7692308,0.153846154,1.923076923
001A000000w6TnqIAE,165.0769231,0.346153846,1.769230769
001A000000w6U06IAE,131.4444444,0.111111111,1.888888889
001A000000w6kHDIAY,158.5652174,0.304347826,1.782608696
001A000000w6wPpIAI,156.1593928,0.75711575,1.981024668
001A000000w7cO6IAI,44.8,0.8,2
001A000000wqe12IAA,214.3619168,0.507566204,3.88776797